No.,Player,Pos,Ht,Wt,"Birth Date",Nationality,Exp,College,Team,State,Country
12,"Ja Morant",PG,6/3/2023,174,8/10/1999,us,3,"Murray State","Memphis Grizzlies","South Carolina","United States"
27,"David Roddy",PF,6/6/2023,255,3/27/2001,us,R,"Colorado State","Memphis Grizzlies",Minnesota,"United States"
4,"Steven Adams",C,6/11/2023,265,7/20/1993,nz,9,Pitt,"Memphis Grizzlies",,"New Zealand"
13,"Jaren Jackson Jr.",C,6/11/2023,242,9/15/1999,us,4,"Michigan State","Memphis Grizzlies","New Jersey","United States"
2,"Xavier Tillman Sr.",PF,6/8/2023,245,1/12/1999,us,2,"Michigan State","Memphis Grizzlies",Michigan,"United States"
22,"Desmond Bane",SG,6/5/2023,215,6/25/1998,us,2,TCU,"Memphis Grizzlies",Indiana,"United States"
3,"Jake LaRavia",PF,6/8/2023,235,11/3/2001,us,R,"Indiana State University, Wake Forest","Memphis Grizzlies",California,"United States"
8,"Ziaire Williams",SF,6/8/2023,215,9/12/2001,us,1,Stanford,"Memphis Grizzlies",California,"United States"
1,"Kennedy Chandler",PG,6/1/2000,171,9/16/2002,us,R,Tennessee,"Memphis Grizzlies",Tennessee,"United States"
5,"Vince Williams Jr.  (TW)",SG,6/6/2023,205,8/30/2000,us,R,VCU,"Memphis Grizzlies",Ohio,"United States"
6,"Kenneth Lofton Jr.  (TW)",PF,6/7/2023,275,8/14/2002,us,R,"Louisiana Tech","Memphis Grizzlies",Texas,"United States"
10,"Luke Kennard",SG,6/5/2023,206,6/24/1996,us,5,Duke,"Memphis Grizzlies",Ohio,"United States"
31,"Max Strus",SF,6/5/2023,215,3/28/1996,us,3,"Lewis (IL), DePaul","Miami Heat",Illinois,"United States"
13,"Bam Adebayo",C,6/9/2023,255,7/18/1997,us,5,Kentucky,"Miami Heat","New Jersey","United States"
16,"Caleb Martin",PF,6/5/2023,205,9/28/1995,us,3,"NC State, Nevada","Miami Heat","North Carolina","United States"
14,"Tyler Herro",SG,6/5/2023,195,1/20/2000,us,3,Kentucky,"Miami Heat",Wisconsin,"United States"
2,"Gabe Vincent",PG,6/3/2023,200,6/14/1996,us,3,"UC Santa Barbara","Miami Heat",California,"United States"
22,"Jimmy Butler",SF,6/7/2023,230,9/14/1989,us,11,Marquette,"Miami Heat",Texas,"United States"
7,"Kyle Lowry",PG,6/1/2000,196,3/25/1986,us,16,Villanova,"Miami Heat",Pennsylvania,"United States"
24,"Haywood Highsmith",SF,6/7/2023,220,12/9/1996,us,2,"Wheeling University","Miami Heat",Maryland,"United States"
55,"Duncan Robinson",SF,6/7/2023,215,4/22/1994,us,4,"Williams, Michigan","Miami Heat",Maine,"United States"
25,"Orlando Robinson  (TW)",C,7/1/2000,235,7/10/2000,us,R,"Fresno State","Miami Heat",Nevada,"United States"
4,"Victor Oladipo",SG,6/4/2023,213,5/4/1992,us,9,Indiana,"Miami Heat",Maryland,"United States"
5,"Nikola Jovi?",PF,6/10/2023,209,6/9/2003,gb,R,,"Miami Heat",,"United Kingdom"
8,"Jamal Cain  (TW)",SF,6/7/2023,191,3/20/1999,us,R,"Marquette, Oakland","Miami Heat",Michigan,"United States"
40,"Udonis Haslem",C,6/8/2023,235,6/9/1980,us,19,Florida,"Miami Heat",Florida,"United States"
11,"Jamaree Bouyea",PG,6/2/2023,180,6/27/1999,us,R,"San Francisco","Miami Heat",California,"United States"
NULL,"Omer Yurtseven",C,7/1/2000,264,6/19/1998,tr,1,"NC State, Georgetown","Miami Heat",,Turkey
5,"Jevon Carter",PG,6/1/2023,200,9/14/1995,us,4,"West Virginia","Milwaukee Bucks",Illinois,"United States"
11,"Brook Lopez",C,7/1/2000,282,4/1/1988,us,14,Stanford,"Milwaukee Bucks",California,"United States"
12,"Grayson Allen",SG,6/4/2023,198,10/8/1995,us,4,Duke,"Milwaukee Bucks",Florida,"United States"
9,"Bobby Portis",PF,6/10/2023,250,2/10/1995,us,7,Arkansas,"Milwaukee Bucks",Arkansas,"United States"
34,"Giannis Antetokounmpo",PF,7/1/2000,242,12/6/1994,gr,9,,"Milwaukee Bucks",,Greece
21,"Jrue Holiday",PG,6/3/2023,205,6/12/1990,us,13,UCLA,"Milwaukee Bucks",California,"United States"
24,"Pat Connaughton",SG,6/5/2023,209,1/6/1993,us,7,"Notre Dame","Milwaukee Bucks",Massachusetts,"United States"
23,"Wesley Matthews",SG,6/4/2023,220,10/14/1986,us,13,Marquette,"Milwaukee Bucks",Texas,"United States"
0,"MarJon Beauchamp",SF,6/6/2023,199,10/12/2000,us,R,"Yakima Valley Community College","Milwaukee Bucks",Washington,"United States"
20,"A.J. Green  (TW)",SG,6/4/2023,200,9/27/1999,us,R,"University of Northern Iowa","Milwaukee Bucks",Iowa,"United States"
7,"Joe Ingles",SF,6/8/2023,220,10/2/1987,au,8,,"Milwaukee Bucks",,Australia
43,"Thanasis Antetokounmpo",SF,6/6/2023,219,7/18/1992,gr,4,,"Milwaukee Bucks",,Greece
54,"Sandro Mamukelashvili  (TW)",C,6/11/2023,240,5/23/1999,us,1,"Seton Hall","Milwaukee Bucks","New York","United States"
22,"Khris Middleton",SF,6/7/2023,222,8/12/1991,us,10,"Texas A&M","Milwaukee Bucks","South Carolina","United States"
NULL,"Jae Crowder",SF,6/6/2023,235,7/6/1990,us,10,Marquette,"Milwaukee Bucks",Georgia,"United States"
1,"Anthony Edwards",SG,6/4/2023,225,8/5/2001,us,2,Georgia,"Minnesota Timberwolves",Georgia,"United States"
4,"Jaylen Nowell",SG,6/4/2023,201,7/9/1999,us,3,Washington,"Minnesota Timberwolves",Washington,"United States"
3,"Jaden McDaniels",PF,6/9/2023,185,9/29/2000,us,2,Washington,"Minnesota Timberwolves",Washington,"United States"
11,"Naz Reid",C,6/9/2023,264,8/26/1999,us,3,LSU,"Minnesota Timberwolves","New Jersey","United States"
27,"Rudy Gobert",C,7/1/2023,258,6/26/1992,fr,9,,"Minnesota Timberwolves",,France
5,"Kyle Anderson",PF,6/9/2023,230,9/20/1993,us,8,UCLA,"Minnesota Timberwolves","New York","United States"
25,"Austin Rivers",SG,6/4/2023,200,8/1/1992,us,10,Duke,"Minnesota Timberwolves",California,"United States"
12,"Taurean Prince",SF,6/7/2023,218,3/22/1994,us,6,Baylor,"Minnesota Timberwolves",Texas,"United States"
13,"Nathan Knight",PF,6/10/2023,253,9/20/1997,us,2,"William & Mary","Minnesota Timberwolves","New York","United States"
7,"Wendell Moore Jr.",SG,6/5/2023,213,9/18/2001,us,R,Duke,"Minnesota Timberwolves",Virgina,"United States"
6,"Jordan McLaughlin",PG,5/11/2023,185,4/9/1996,us,3,USC,"Minnesota Timberwolves",California,"United States"
55,"Luka Garza  (TW)",C,6/11/2023,235,12/27/1998,us,1,Iowa,"Minnesota Timberwolves",Washington,"United States"
32,"Karl-Anthony Towns",PF,6/11/2023,248,11/15/1995,us,7,Kentucky,"Minnesota Timberwolves","New Jersey","United States"
37,"Matt Ryan  (TW)",SF,6/7/2023,215,4/17/1997,us,1,"Notre Dame, Vanderbilt, Chattanooga","Minnesota Timberwolves","New Jersey","United States"
8,"Josh Minott",SF,6/8/2023,205,11/25/2002,us,R,Memphis,"Minnesota Timberwolves",Florida,"United States"
10,"Mike Conley",PG,6/1/2023,175,10/11/1987,us,15,"Ohio State","Minnesota Timberwolves",Arkansas,"United States"
9,"Nickeil Alexander-Walker",SG,6/6/2023,205,9/2/1998,ca,3,"Virginia Tech","Minnesota Timberwolves",,Canada
17,"Jonas Valan?i?nas",C,6/11/2023,265,5/6/1992,lt,10,,"New Orleans Pelicans",,Lithuania
15,"Jose Alvarado",PG,6/1/2000,179,4/12/1998,us,1,"Georgia Tech","New Orleans Pelicans","New York","United States"
25,"Trey Murphy III",SF,6/9/2023,206,6/18/2000,us,1,"Rice University, Virginia","New Orleans Pelicans","North Carolina","United States"
8,"Naji Marshall",SF,6/7/2023,220,1/24/1998,us,2,Xavier,"New Orleans Pelicans","New Jersey","United States"
3,"CJ McCollum",SG,6/3/2023,190,9/19/1991,us,9,Lehigh,"New Orleans Pelicans",Ohio,"United States"
22,"Larry Nance Jr.",PF,6/7/2023,245,1/1/1993,us,7,Wyoming,"New Orleans Pelicans",Ohio,"United States"
5,"Herbert Jones",SF,6/8/2023,210,10/6/1998,us,1,Alabama,"New Orleans Pelicans",Alabama,"United States"
11,"Dyson Daniels",PG,6/8/2023,199,3/17/2003,au,R,,"New Orleans Pelicans",,Australia
10,"Jaxson Hayes",C,6/11/2023,220,5/23/2000,us,3,Texas,"New Orleans Pelicans",Oklahoma,"United States"
1,"Zion Williamson",PF,6/6/2023,284,7/6/2000,us,2,Duke,"New Orleans Pelicans","North Carolina","United States"
9,"Willy HernangÃ³mez",C,6/11/2023,250,5/27/1994,es,6,,"New Orleans Pelicans",,Spain
14,"Brandon Ingram",SF,6/8/2023,190,9/2/1997,us,6,Duke,"New Orleans Pelicans","North Carolina","United States"
41,"Garrett Temple",SG,6/5/2023,195,5/8/1986,us,12,LSU,"New Orleans Pelicans",Louisiana,"United States"
13,"Kira Lewis Jr.",PG,6/1/2023,170,4/6/2001,us,2,Alabama,"New Orleans Pelicans",Alabama,"United States"
0,"Dereon Seabron  (TW)",SG,6/7/2023,180,5/26/2000,us,R,"NC State","New Orleans Pelicans",Virginia,"United States"
2,"Josh Richardson",SG,6/5/2023,200,9/15/1993,us,7,Tennessee,"New Orleans Pelicans",Oklahoma,"United States"
NULL,"E.J. Liddell  (TW)",PF,6/7/2023,240,12/18/2000,us,R,"Ohio State","New Orleans Pelicans",Illinois,"United States"
30,"Julius Randle",PF,6/8/2023,250,11/29/1994,us,8,Kentucky,"New York Knicks",Texas,"United States"
55,"Isaiah Hartenstein",C,7/1/2000,250,5/5/1998,us,4,,"New York Knicks",Oregon,"United States"
5,"Immanuel Quickley",PG,6/3/2023,190,6/17/1999,us,2,Kentucky,"New York Knicks",Maryland,"United States"
11,"Jalen Brunson",PG,6/1/2023,190,8/31/1996,us,4,Villanova,"New York Knicks","New Jersey","United States"
9,"RJ Barrett",SG,6/6/2023,214,6/14/2000,ca,3,Duke,"New York Knicks",,Canada
6,"Quentin Grimes",SG,6/5/2023,205,5/8/2000,us,1,"Kansas, Houston","New York Knicks",Texas,"United States"
45,"Jericho Sims",C,6/10/2023,245,10/20/1998,us,1,Texas,"New York Knicks",Minnesota,"United States"
2,"Miles McBride",PG,6/2/2023,200,9/8/2000,us,1,"West Virginia","New York Knicks",Ohio,"United States"
1,"Obi Toppin",PF,6/9/2023,220,3/4/1998,us,2,Dayton,"New York Knicks","New York","United States"
23,"Mitchell Robinson",C,7/1/2000,240,4/1/1998,us,4,"Western Kentucky","New York Knicks",Florida,"United States"
4,"Derrick Rose",PG,6/3/2023,200,10/4/1988,us,13,Memphis,"New York Knicks",Illinois,"United States"
13,"Evan Fournier",SG,6/7/2023,205,10/29/1992,fr,10,,"New York Knicks",,France
3,"Josh Hart",SG,6/5/2023,215,3/6/1995,us,5,Villanova,"New York Knicks",Maryland,"United States"
3,"Trevor Keels  (TW)",SG,6/5/2023,221,8/26/2003,us,R,Duke,"New York Knicks",Maryland,"United States"
NULL,"DaQuan Jeffries  (TW)",SG,6/5/2023,230,8/30/1997,us,3,"Oral Roberts, Tulsa","New York Knicks",Oklahoma,"United States"
2,"Shai Gilgeous-Alexander",PG,6/6/2023,180,7/12/1998,ca,4,Kentucky,"Oklahoma City Thunder",,Canada
8,"Jalen Williams",SG,6/6/2023,195,4/14/2001,us,R,"Santa Clara","Oklahoma City Thunder",Colorado,"United States"
3,"Josh Giddey",SG,6/8/2023,210,10/10/2002,au,1,,"Oklahoma City Thunder",,Australia
23,"Tre Mann",PG,6/3/2023,178,2/3/2001,us,1,Florida,"Oklahoma City Thunder",Florida,"United States"
5,"Luguentz Dort",SG,6/3/2023,215,4/19/1999,ca,3,"Arizona State","Oklahoma City Thunder",,Canada
11,"Isaiah Joe",SG,6/4/2023,165,7/2/1999,us,2,Arkansas,"Oklahoma City Thunder",Arkansas,"United States"
34,"Kenrich Williams",PF,6/6/2023,210,12/2/1994,us,4,TCU,"Oklahoma City Thunder",Texas,"United States"
21,"Aaron Wiggins",SG,6/6/2023,200,1/2/1999,us,1,Maryland,"Oklahoma City Thunder","North Carolina","United States"
17,"Aleksej Pokusevski",PF,7/1/2000,190,12/26/2001,rs,2,,"Oklahoma City Thunder",,Serbia
50,"Jeremiah Robinson-Earl",PF,6/9/2023,230,11/3/2000,us,1,Villanova,"Oklahoma City Thunder",Missouri,"United States"
6,"Jaylin Williams",PF,6/10/2023,240,6/29/2002,us,R,Arkansas,"Oklahoma City Thunder",Arkansas,"United States"
97,"Eugene Omoruyi",SF,6/7/2023,244,2/14/1997,ng,1,"Rutgers University, Oregon","Oklahoma City Thunder",,Nigeria
13,"Ousmane Dieng",SF,6/10/2023,216,5/21/2003,fr,R,,"Oklahoma City Thunder",,France
9,"Dario Å ari?",PF,6/10/2023,225,4/8/1994,hr,5,,"Oklahoma City Thunder",,Croatia
NULL,"Chet Holmgren",PF,7/1/2000,195,5/1/2002,us,R,Gonzaga,"Oklahoma City Thunder",Minnesota,"United States"
NULL,"Olivier Sarr  (TW)",C,7/1/2000,237,2/20/1999,fr,1,"Wake Forest, Kentucky","Oklahoma City Thunder",,France
22,"Franz Wagner",SF,6/9/2023,225,8/27/2001,de,1,Michigan,"Orlando Magic",,Germany
10,"Bol Bol",PF,7/2/2023,220,11/16/1999,sd,3,Oregon,"Orlando Magic",,Sudan
5,"Paolo Banchero",PF,6/10/2023,250,11/12/2002,us,R,Duke,"Orlando Magic",Washington,"United States"
34,"Wendell Carter Jr.",C,6/10/2023,270,4/16/1999,us,4,Duke,"Orlando Magic",Georgia,"United States"
50,"Cole Anthony",PG,6/2/2023,185,5/15/2000,us,2,UNC,"Orlando Magic",Oregon,"United States"
20,"Markelle Fultz",PG,6/3/2023,209,5/29/1998,us,5,Washington,"Orlando Magic",Maryland,"United States"
21,"Moritz Wagner",C,6/11/2023,245,4/26/1997,de,4,Michigan,"Orlando Magic",,Germany
4,"Jalen Suggs",PG,6/4/2023,205,6/3/2001,us,1,Gonzaga,"Orlando Magic",Minnesota,"United States"
2,"Caleb Houstan",SF,6/8/2023,205,1/9/2003,ca,R,Michigan,"Orlando Magic",,Canada
14,"Gary Harris",SG,6/4/2023,210,9/14/1994,us,8,"Michigan State","Orlando Magic",Indiana,"United States"
25,"Admiral Schofield  (TW)",PF,6/5/2023,241,3/30/1997,gb,2,Tennessee,"Orlando Magic",,"United Kingdom"
7,"Kevon Harris  (TW)",SG,6/6/2023,216,6/24/1997,us,R,"Stephen F. Austin","Orlando Magic",Georgia,"United States"
13,"R.J. Hampton",PG,6/4/2023,175,2/7/2001,us,2,,"Orlando Magic",Texas,"United States"
3,"Chuma Okeke",SF,6/6/2023,229,8/18/1998,us,2,Auburn,"Orlando Magic",Georgia,"United States"
1,"Jonathan Isaac",PF,6/11/2023,230,10/3/1997,us,3,"Florida State","Orlando Magic",Florida,"United States"
20,"Georges Niang",PF,6/7/2023,230,6/17/1993,us,6,"Iowa State","Phildelphia 76ers",Massachusetts,"United States"
17,"P.J. Tucker",PF,6/5/2023,245,5/5/1985,us,11,Texas,"Phildelphia 76ers","North Carolina","United States"
8,"De'Anthony Melton",PG,6/2/2023,200,5/28/1998,us,4,USC,"Phildelphia 76ers",California,"United States"
12,"Tobias Harris",PF,6/8/2023,226,7/15/1992,us,11,Tennessee,"Phildelphia 76ers","New York","United States"
18,"Shake Milton",SG,6/5/2023,205,9/26/1996,us,4,SMU,"Phildelphia 76ers",Oklahoma,"United States"
5,"Montrezl Harrell",C,6/7/2023,240,1/26/1994,us,7,Louisville,"Phildelphia 76ers","North Carolina","United States"
21,"Joel Embiid",C,7/1/2000,280,3/16/1994,cm,6,Kansas,"Phildelphia 76ers",,Cameroon
44,"Paul Reed",C,6/9/2023,210,6/14/1999,us,2,DePaul,"Phildelphia 76ers",Florida,"United States"
1,"James Harden",PG,6/5/2023,220,8/26/1989,us,13,"Arizona State","Phildelphia 76ers",California,"United States"
0,"Tyrese Maxey",SG,6/2/2023,200,11/4/2000,us,2,Kentucky,"Phildelphia 76ers",Texas,"United States"
25,"Danuel House Jr.",SF,6/6/2023,220,6/7/1993,us,6,"Texas A&M","Phildelphia 76ers",Texas,"United States"
30,"Furkan Korkmaz",SG,6/7/2023,202,7/24/1997,tr,5,,"Phildelphia 76ers",,Turkey
11,"Jaden Springer",SG,6/4/2023,204,9/25/2002,us,1,Tennessee,"Phildelphia 76ers","North Carolina","United States"
7,"Jalen McDaniels",SF,6/9/2023,205,1/31/1998,us,3,"San Diego State","Phildelphia 76ers",Washington,"United States"
NULL,"Louis King  (TW)",SF,6/7/2023,205,4/6/1999,us,3,Oregon,"Phildelphia 76ers","New Jersey","United States"
NULL,"Mac McClung  (TW)",SG,6/2/2023,185,1/6/1999,us,1,"Georgetown, Texas Tech","Phildelphia 76ers",Virginia,"United States"
NULL,"Dewayne Dedmon",C,7/1/2000,245,8/12/1989,us,9,USC,"Phildelphia 76ers",California,"United States"
10,"Damion Lee",SG,6/5/2023,210,10/21/1992,us,5,"Drexel, Louisville","Phoenix Suns",Maryland,"United States"
0,"Torrey Craig",SF,6/7/2023,221,12/19/1990,us,5,"USC Upstate","Phoenix Suns","South Carolina","United States"
22,"Deandre Ayton",C,6/11/2023,250,7/23/1998,bs,4,Arizona,"Phoenix Suns",,Bahamas
11,"Jock Landale",C,6/11/2023,256,10/25/1995,au,1,"Saint Mary's","Phoenix Suns",,Australia
2,"Josh Okogie",SG,6/4/2023,213,9/1/1998,ng,4,"Georgia Tech","Phoenix Suns",,Nigeria
18,"Bismack Biyombo",C,6/8/2023,255,8/28/1992,cd,11,,"Phoenix Suns",,Congo
12,"Ish Wainright  (TW)",SF,6/6/2023,250,9/12/1994,us,1,Baylor,"Phoenix Suns",Missouri,"United States"
3,"Chris Paul",PG,6/1/2000,175,5/6/1985,us,17,"Wake Forest","Phoenix Suns","North Carolina","United States"
1,"Devin Booker",SG,6/5/2023,206,10/30/1996,us,7,Kentucky,"Phoenix Suns",Michigan,"United States"
14,"Landry Shamet",SG,6/4/2023,190,3/13/1997,us,4,"Wichita State","Phoenix Suns",Missouri,"United States"
15,"Cameron Payne",PG,6/1/2023,183,8/8/1994,us,7,"Murray State","Phoenix Suns",Tennessee,"United States"
38,"Saben Lee  (TW)",PG,6/2/2023,183,6/23/1999,us,2,Vanderbilt,"Phoenix Suns",Missouri,"United States"
21,"T.J. Warren",SF,6/8/2023,220,9/5/1993,us,7,"NC State","Phoenix Suns","North Carolina","United States"
55,"Darius Bazley",PF,6/8/2023,208,6/12/2000,us,3,,"Phoenix Suns",Massachusetts,"United States"
7,"Kevin Durant",SF,6/10/2023,240,9/29/1988,us,14,Texas,"Phoenix Suns",Washington,"United States"
17,"Shaedon Sharpe",SG,6/6/2023,200,5/30/2003,ca,R,Kentucky,"Portland Trailblazers",,Canada
1,"Anfernee Simons",SG,6/3/2023,181,6/8/1999,us,4,,"Portland Trailblazers",Florida,"United States"
24,"Drew Eubanks",C,6/9/2023,245,2/1/1997,us,4,"Oregon State","Portland Trailblazers",Mississippi,"United States"
9,"Jerami Grant",PF,6/8/2023,210,3/12/1994,us,8,Syracuse,"Portland Trailblazers",Oregon,"United States"
0,"Damian Lillard",PG,6/2/2023,195,7/15/1990,us,10,"Weber State","Portland Trailblazers",California,"United States"
27,"Jusuf Nurki?",C,6/11/2023,290,8/23/1994,ba,8,,"Portland Trailblazers",,Bosnia
2,"Trendon Watford",PF,6/9/2023,240,11/9/2000,us,1,LSU,"Portland Trailblazers",Alabama,"United States"
34,"Jabari Walker",SF,6/9/2023,215,7/30/2002,us,R,Colorado,"Portland Trailblazers",Kansas,"United States"
10,"Nassir Little",SF,6/5/2023,220,2/11/2000,us,3,UNC,"Portland Trailblazers",Florida,"United States"
26,"Justise Winslow",SF,6/6/2023,222,3/26/1996,us,7,Duke,"Portland Trailblazers",Texas,"United States"
6,"Keon Johnson",SG,6/5/2023,186,3/10/2002,us,1,Tennessee,"Portland Trailblazers",Tennessee,"United States"
21,"John Butler  (TW)",C,7/1/2023,175,12/4/2002,us,R,"Florida State","Portland Trailblazers","South Carolina","United States"
5,"Cam Reddish",SF,6/8/2023,218,9/1/1999,us,3,Duke,"Portland Trailblazers",Pennsylvania,"United States"
4,"Matisse Thybulle",SG,6/5/2023,201,3/4/1997,us,3,Washington,"Portland Trailblazers",Arizona,"United States"
11,"Kevin Knox",SF,6/7/2023,215,8/11/1999,us,4,Kentucky,"Portland Trailblazers",Arizona,"United States"
51,"Ryan Arcidiacono",PG,6/3/2023,195,3/26/1994,us,5,Villanova,"Portland Trailblazers",Pennsylvania,"United States"
NULL,"Ibou Badji  (TW)",C,7/1/2023,240,10/13/2002,sn,R,,"Portland Trailblazers",,Senegal
40,"Harrison Barnes",PF,6/8/2023,225,5/30/1992,us,10,UNC,"Sacramento Kings",Iowa,"United States"
15,"Davion Mitchell",PG,6/2/2023,205,9/5/1998,us,1,"Auburn, Baylor","Sacramento Kings",Georgia,"United States"
10,"Domantas Sabonis",C,6/11/2023,240,5/3/1996,us,6,Gonzaga,"Sacramento Kings",Oregon,"United States"
13,"Keegan Murray",SF,6/8/2023,215,8/19/2000,us,R,Iowa,"Sacramento Kings",Iowa,"United States"
9,"Kevin Huerter",SG,6/7/2023,190,8/27/1998,us,4,Maryland,"Sacramento Kings","New York","United States"
0,"Malik Monk",SG,6/3/2023,200,2/4/1998,us,5,Kentucky,"Sacramento Kings",Arkansas,"United States"
5,"De'Aaron Fox",PG,6/3/2023,185,12/20/1997,us,5,Kentucky,"Sacramento Kings",Louisiana,"United States"
41,"Trey Lyles",PF,6/9/2023,234,11/5/1995,ca,7,Kentucky,"Sacramento Kings",,Canada
3,"Terence Davis",SG,6/4/2023,201,5/16/1997,us,3,"Ole Miss","Sacramento Kings",Mississippi,"United States"
7,"Chimezie Metu",C,6/9/2023,225,3/22/1997,us,4,USC,"Sacramento Kings",California,"United States"
30,"KZ Okpala",PF,6/8/2023,215,4/28/1999,us,3,Stanford,"Sacramento Kings",California,"United States"
22,"Richaun Holmes",C,6/10/2023,235,10/15/1993,us,7,"Bowling Green","Sacramento Kings",Illinois,"United States"
8,"Matthew Dellavedova",PG,6/3/2023,200,9/8/1990,au,8,"Saint Mary's","Sacramento Kings",,Australia
25,"Alex Len",C,7/1/2000,250,6/16/1993,ua,9,Maryland,"Sacramento Kings",,Ukraine
23,"Keon Ellis  (TW)",SG,6/6/2023,175,1/8/2000,us,R,"Florida SouthWestern State College, Alabama","Sacramento Kings",Florida,"United States"
88,"Neemias Queta  (TW)",C,7/1/2000,245,7/13/1999,pt,1,"Utah State University","Sacramento Kings",,Portugal
17,"Kessler Edwards",SF,6/8/2023,215,8/9/2000,us,1,Pepperdine,"Sacramento Kings",California,"United States"
3,"Keldon Johnson",SF,6/5/2023,220,10/11/1999,us,3,Kentucky,"San Antonio Spurs",Virginia,"United States"
33,"Tre Jones",PG,6/1/2023,185,1/8/2000,us,2,Duke,"San Antonio Spurs",Minnesota,"United States"
17,"Doug McDermott",SF,6/7/2023,225,1/3/1992,us,8,Creighton,"San Antonio Spurs","North Dakota","United States"
23,"Zach Collins",C,6/11/2023,250,11/19/1997,us,4,Gonzaga,"San Antonio Spurs",Nevada,"United States"
10,"Jeremy Sochan",PF,6/9/2023,230,5/20/2003,us,R,Baylor,"San Antonio Spurs",Oklahoma,"United States"
22,"Malaki Branham",SF,6/5/2023,180,5/12/2003,us,R,"Ohio State","San Antonio Spurs",Ohio,"United States"
31,"Keita Bates-Diop",SF,6/8/2023,229,1/23/1996,us,4,"Ohio State","San Antonio Spurs",Illinois,"United States"
18,"Isaiah Roby",PF,6/8/2023,230,2/3/1998,us,3,Nebraska,"San Antonio Spurs",Illinois,"United States"
35,"Romeo Langford",SG,6/4/2023,216,10/25/1999,us,3,Indiana,"San Antonio Spurs",Indiana,"United States"
24,"Devin Vassell",SG,6/5/2023,200,8/23/2000,us,2,"Florida State","San Antonio Spurs",Georgia,"United States"
28,"Charles Bassey  (TW)",C,6/11/2023,235,10/28/2000,ng,1,"Western Kentucky","San Antonio Spurs",,Nigeria
41,"Gorgui Dieng",C,6/10/2023,252,1/18/1990,sn,9,Louisville,"San Antonio Spurs",,Senegal
14,"Blake Wesley",SG,6/5/2023,185,3/16/2003,us,R,"Notre Dame","San Antonio Spurs",Indiana,"United States"
26,"Dominick Barlow  (TW)",SF,6/9/2023,221,5/26/2003,us,R,,"San Antonio Spurs","New Jersey","United States"
4,"Devonte' Graham",PG,6/1/2023,195,2/22/1995,us,4,Kansas,"San Antonio Spurs","North Carolina","United States"
NULL,"Khem Birch",C,6/9/2023,233,9/28/1992,ca,5,"Pitt, UNLV","San Antonio Spurs",,Canada
4,"Scottie Barnes",PF,6/9/2023,227,8/1/2001,us,1,"Florida State","Toronto Raptors",Florida,"United States"
25,"Chris Boucher",PF,6/9/2023,200,1/11/1993,lc,5,Oregon,"Toronto Raptors",,"Saint Lucia"
23,"Fred VanVleet",PG,6/1/2023,197,2/25/1994,us,6,"Wichita State","Toronto Raptors",Illinois,"United States"
33,"Gary Trent Jr.",SG,6/5/2023,209,1/18/1999,us,4,Duke,"Toronto Raptors",Ohio,"United States"
43,"Pascal Siakam",C,6/9/2023,230,4/2/1994,cm,6,"New Mexico State","Toronto Raptors",,Cameroon
21,"Thaddeus Young",PF,6/8/2023,235,6/21/1988,us,15,"Georgia Tech","Toronto Raptors",Louisiana,"United States"
3,"OG Anunoby",SF,6/7/2023,232,7/17/1997,gb,5,Indiana,"Toronto Raptors",,"United Kingdom"
35,"Christian Koloko",C,7/1/2023,230,6/20/2000,cm,R,Arizona,"Toronto Raptors",,Cameroon
22,"Malachi Flynn",PG,6/1/2023,175,5/10/1998,us,2,"Washington State, San Diego State","Toronto Raptors",Washington,"United States"
41,"Juancho HernangÃ³mez",PF,6/9/2023,214,9/28/1995,es,6,,"Toronto Raptors",,Spain
5,"Precious Achiuwa",C,6/8/2023,225,9/19/1999,ng,2,Memphis,"Toronto Raptors",,Nigeria
45,"Dalano Banton",PG,6/9/2023,204,11/7/1999,ca,1,Nebraska,"Toronto Raptors",,Canada
20,"Jeff Dowtin  (TW)",PG,6/3/2023,185,5/10/1997,us,1,"Rhode Island","Toronto Raptors",Maryland,"United States"
32,"Otto Porter Jr.",SF,6/8/2023,198,6/3/1993,us,9,Georgetown,"Toronto Raptors",Missouri,"United States"
19,"Jakob Poeltl",C,7/1/2023,245,10/15/1995,at,6,Utah,"Toronto Raptors",,Austria
8,"Ron Harper Jr.  (TW)",SF,6/6/2023,245,4/12/2000,us,R,"Rutgers University","Toronto Raptors","New Jersey","United States"
11,"Joe Wieskamp",SF,6/6/2023,212,8/23/1999,us,1,Iowa,"Toronto Raptors",Iowa,"United States"
0,"Jordan Clarkson",SG,6/4/2023,194,6/7/1992,us,8,"Tulsa, Missouri","Utah Jazz",Florida,"United States"
24,"Walker Kessler",C,7/1/2023,245,7/26/2001,us,R,"UNC, Auburn","Utah Jazz",Georgia,"United States"
23,"Lauri Markkanen",SF,7/1/2000,240,5/22/1997,fi,5,Arizona,"Utah Jazz",,Finland
41,"Kelly Olynyk",C,6/11/2023,240,4/19/1991,ca,9,Gonzaga,"Utah Jazz",,Canada
2,"Collin Sexton",SG,6/1/2023,190,1/4/1999,us,4,Alabama,"Utah Jazz",Georgia,"United States"
0,"Talen Horton-Tucker",SG,6/4/2023,234,11/25/2000,us,3,"Iowa State","Utah Jazz",Illinois,"United States"
22,"Rudy Gay",PF,6/8/2023,250,8/17/1986,us,16,UConn,"Utah Jazz","New York","United States"
